Unnamed: 0,Data,Sunlight (em minutos),avg_price_eur_mwh,temp_C_mean,temp_C_min,temp_C_max,wind_speed_mean,wind_speed_min,wind_speed_max,precip_mm_sum,mean_cloud,min_cloud,max_cloud
157,2023-06-07,891.6,88.14958333333334,20.957193,17.744507,25.412384,3.448148,1.6326412,4.988977,0.4306326,78.11753,52.92527,99.86184
158,2023-06-08,892.2,81.52,19.924442,17.440063,23.215668,4.281512,2.62459,5.540114,1.1850951,69.44347,47.662426,91.3306
159,2023-06-09,892.8,82.50304347826086,19.4053,17.107391,22.833313,3.5554163,1.7711198,4.610614,0.35499543,86.8483,70.58482,97.726974
160,2023-06-10,893.4,84.04857142857142,19.900103,16.078003,24.245605,1.8592206,0.6870457,3.2742472,0.058001164,65.45207,22.1358,85.29911
161,2023-06-11,894.6,82.28714285714285,19.888834,14.110657,25.475159,1.9634017,0.3861272,3.9986973,0.023832042,52.882156,7.2618194,98.64459
162,2023-06-12,895.2,94.53041666666668,20.406374,15.682709,25.53012,2.2453556,0.09568547,4.352497,0.15395904,55.32326,24.69583,69.654396
163,2023-06-13,895.2,87.19571428571427,19.478083,15.865906,23.97055,4.118588,2.9745228,5.660063,0.08152793,52.722492,10.319142,80.04588
164,2023-06-14,895.8,87.74478260869566,21.561396,15.626953,28.001556,2.7771585,1.6589698,3.936714,0.0014744553,29.152681,0.9954475,86.56609
165,2023-06-15,896.4,107.22956521739133,25.100729,16.81601,32.668304,1.8421758,0.5671338,2.7742534,1.0752211e-05,25.614092,3.584918,88.74153
166,2023-06-16,896.4,123.91809523809523,26.27855,19.371185,33.15689,2.0834677,0.2783102,3.7638,0.0023243476,52.408146,9.091187,89.48497
167,2023-06-17,897.0,98.48791666666666,23.741377,17.913574,30.420013,3.080528,2.0137184,4.6472545,0.014202268,31.123352,10.922349,97.45659
168,2023-06-18,897.0,88.37565217391305,21.69278,16.294678,27.249084,2.504248,1.9301584,3.7314215,0.021877475,81.14643,42.15817,99.84658
169,2023-06-19,897.0,108.36869565217393,20.907396,17.039215,25.728485,2.3920333,0.5659259,4.5478654,0.054184597,61.2498,32.61058,98.50378
170,2023-06-20,897.0,112.80739130434785,20.254148,16.224762,24.856018,2.44662,1.4116037,3.6977134,0.032885402,69.81285,38.41747,97.456055
171,2023-06-21,897.0,118.75916666666666,19.772316,16.087372,23.750153,2.2917795,1.4462339,3.660313,0.22498673,63.45438,2.004574,98.39708
172,2023-06-22,897.0,122.085,22.082146,14.931946,29.063263,1.9852296,0.58986396,3.3635004,0.00015754325,14.884113,0.011776195,36.793285
173,2023-06-23,897.0,110.08875,26.924973,17.781708,34.97586,1.7161626,0.8220619,2.6759455,6.544824e-06,2.4978638,0.0,12.304508
174,2023-06-24,896.4,95.2242105263158,28.627106,21.548187,35.580933,1.6239747,0.7504555,2.809388,0.00027862252,4.537343,0.0027286306,17.242252
175,2023-06-25,896.4,99.0721052631579,28.091766,20.926208,36.030792,2.475506,1.4151764,4.115958,0.010762495,6.4217887,0.26690316,19.990162
176,2023-06-26,895.8,97.69761904761906,26.933481,19.016815,35.14032,2.7755146,1.7566117,4.4996247,1.8699498e-06,0.29170915,0.0,1.5230426
177,2023-06-27,895.8,99.67291666666668,26.081118,18.60617,34.217224,2.4000962,1.4425306,3.9624906,7.947287e-06,1.6195798,0.0,11.590827
178,2023-06-28,895.2,106.41,26.560974,19.80423,34.08911,2.7692063,1.7275846,4.809528,0.00019026737,3.398653,0.0,11.950791
